Pay Item,Description,Quantity,Unit,Unit Price,Bid Date,Bidder Name,ProjectID,Job Size,Job Desc,County,Region,Pos,Extension,Bidder2Name,Bidder3Name,Bidder2Total,Bidder3Total,JobFederalID,PopulationArea,StateID,DistrictIDs,DistrictNames
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,12450.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,12450.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,20000.0,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,20000.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,50000.0,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,50000.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
105-06845,CONSTRUCTION ENGINEERING,1.0,L.S.,25000.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,25000.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08360,CONTRACT LIENS,1.0,$,1.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08360,CONTRACT LIENS,1.0,$,1.0,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08360,CONTRACT LIENS,1.0,$,1.0,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08360,CONTRACT LIENS,1.0,$,1.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,1.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
110-01001,MOBILIZATION AND DEMOBILIZATION,1.0,L.S.,90000.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,90000.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
110-01001,MOBILIZATION AND DEMOBILIZATION,1.0,L.S.,100922.26,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,100922.26,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
110-01001,MOBILIZATION AND DEMOBILIZATION,1.0,L.S.,101200.0,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,101200.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
110-01001,MOBILIZATION AND DEMOBILIZATION,1.0,L.S.,135000.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,135000.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
201-52370,CLEARING RIGHT-OF-WAY,1.0,L.S.,18000.0,05/07/2026,"RIETH-RILEY CONSTRUCTION CO., INC.",B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,1,18000.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
201-52370,CLEARING RIGHT-OF-WAY,1.0,L.S.,20000.0,05/07/2026,ICC GROUP INC,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,2,20000.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
201-52370,CLEARING RIGHT-OF-WAY,1.0,L.S.,20291.37,05/07/2026,DUNNET BAY CONSTRUCTION COMPANY,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,3,20291.37,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
201-52370,CLEARING RIGHT-OF-WAY,1.0,L.S.,65000.0,05/07/2026,MILESTONE CONTRACTORS LP,B -43355-A,1855375.11,BRIDGE DECK OVERLAY,PORTER,4,4,65000.0,ICC GROUP INC,DUNNET BAY CONSTRUCTION COMPANY,2019000.0,2024864.5,2002344,,IN,4,LAPORTE
